MODZCTA,Positive,Total,zcta_cum.perc_pos,Lat,Long,_geoloc,Neighborhood,Borough
NA,1363,1508,90.38,40.750633,-73.997177,"{""lat"":40.750633,""lng"":-73.997177}",NYC,
10001,201,435,46.21,40.750633,-73.997177,"{""lat"":40.750633,""lng"":-73.997177}",Chelsea and Clinton,Manhattan
10002,500,970,51.55,40.715775,-73.986212,"{""lat"":40.715775,""lng"":-73.986212}",Lower East Side,Manhattan
10003,267,636,41.98,40.731829,-73.989181,"{""lat"":40.731829,""lng"":-73.989181}",Lower East Side,Manhattan
10004,22,54,40.74,40.68863,-74.018244,"{""lat"":40.68863,""lng"":-74.018244}",Lower Manhattan,Manhattan
10005,37,112,33.04,40.706027,-74.008835,"{""lat"":40.706027,""lng"":-74.008835}",Lower Manhattan,Manhattan
10006,8,39,20.51,40.709614,-74.012954,"{""lat"":40.709614,""lng"":-74.012954}",Lower Manhattan,Manhattan
10007,32,103,31.07,40.713848,-74.007755,"{""lat"":40.713848,""lng"":-74.007755}",Lower Manhattan,Manhattan
10009,349,797,43.79,40.726399,-73.978631,"{""lat"":40.726399,""lng"":-73.978631}",Lower East Side,Manhattan
10010,160,451,35.48,40.739065,-73.982255,"{""lat"":40.739065,""lng"":-73.982255}",Gramercy Park and Murray Hill,Manhattan
10011,342,704,48.58,40.742039,-74.00062,"{""lat"":40.742039,""lng"":-74.00062}",Chelsea and Clinton,Manhattan
10012,96,277,34.66,40.725581,-73.998078,"{""lat"":40.725581,""lng"":-73.998078}",Greenwich Village and Soho,Manhattan
10013,151,347,43.52,40.720103,-74.004903,"{""lat"":40.720103,""lng"":-74.004903}",Greenwich Village and Soho,Manhattan
10014,207,443,46.73,40.734012,-74.006746,"{""lat"":40.734012,""lng"":-74.006746}",Greenwich Village and Soho,Manhattan
10016,417,964,43.26,40.745224,-73.978297,"{""lat"":40.745224,""lng"":-73.978297}",Gramercy Park and Murray Hill,Manhattan
10017,83,244,34.02,40.75236,-73.972493,"{""lat"":40.75236,""lng"":-73.972493}",Gramercy Park and Murray Hill,Manhattan
10018,148,318,46.54,40.755319,-73.993114,"{""lat"":40.755319,""lng"":-73.993114}",Chelsea and Clinton,Manhattan
10019,314,716,43.85,40.765823,-73.987169,"{""lat"":40.765823,""lng"":-73.987169}",Chelsea and Clinton,Manhattan
10021,360,906,39.74,40.769258,-73.958751,"{""lat"":40.769258,""lng"":-73.958751}",Upper East Side,Manhattan
10022,206,542,38.01,40.758628,-73.967948,"{""lat"":40.758628,""lng"":-73.967948}",Gramercy Park and Murray Hill,Manhattan
10023,315,809,38.94,40.775921,-73.982607,"{""lat"":40.775921,""lng"":-73.982607}",Upper West Side,Manhattan
10024,359,947,37.91,40.798452,-73.974428,"{""lat"":40.798452,""lng"":-73.974428}",Upper West Side,Manhattan
10025,582,1345,43.27,40.798601,-73.966622,"{""lat"":40.798601,""lng"":-73.966622}",Upper West Side,Manhattan
10026,279,562,49.64,40.802381,-73.952681,"{""lat"":40.802381,""lng"":-73.952681}",Central Harlem,Manhattan
10027,427,839,50.89,40.811407,-73.95306,"{""lat"":40.811407,""lng"":-73.95306}",Central Harlem,Manhattan
10028,302,764,39.53,40.776441,-73.953509,"{""lat"":40.776441,""lng"":-73.953509}",Upper East Side,Manhattan
10029,769,1455,52.85,40.791763,-73.94397,"{""lat"":40.791763,""lng"":-73.94397}",East Harlem,Manhattan
10030,257,424,60.61,40.818267,-73.942856,"{""lat"":40.818267,""lng"":-73.942856}",Central Harlem,Manhattan
10031,542,858,63.17,40.825288,-73.950045,"{""lat"":40.825288,""lng"":-73.950045}",Inwood and Washington Heights,Manhattan
10032,636,1066,59.66,40.838815,-73.942836,"{""lat"":40.838815,""lng"":-73.942836}",Inwood and Washington Heights,Manhattan
10033,560,931,60.15,40.850545,-73.933983,"{""lat"":40.850545,""lng"":-73.933983}",Inwood and Washington Heights,Manhattan
10034,300,550,54.55,40.867076,-73.924312,"{""lat"":40.867076,""lng"":-73.924312}",Inwood and Washington Heights,Manhattan
10035,403,744,54.17,40.795455,-73.929655,"{""lat"":40.795455,""lng"":-73.929655}",East Harlem,Manhattan
10036,214,465,46.02,40.75926,-73.98986,"{""lat"":40.75926,""lng"":-73.98986}",Chelsea and Clinton,Manhattan
10037,223,391,57.03,40.812957,-73.937376,"{""lat"":40.812957,""lng"":-73.937376}",Central Harlem,Manhattan
10038,137,281,48.75,40.709278,-74.002562,"{""lat"":40.709278,""lng"":-74.002562}",Lower Manhattan,Manhattan
10039,243,446,54.48,40.830867,-73.936218,"{""lat"":40.830867,""lng"":-73.936218}",Central Harlem,Manhattan
10040,437,702,62.25,40.858305,-73.930549,"{""lat"":40.858305,""lng"":-73.930549}",Inwood and Washington Heights,Manhattan
10044,84,186,45.16,40.761915,-73.949962,"{""lat"":40.761915,""lng"":-73.949962}",Upper East Side,Manhattan
10065,207,601,34.44,40.764612,-73.963122,"{""lat"":40.764612,""lng"":-73.963122}",Upper East Side,Manhattan
